,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,repeat_style,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
0,0,False,False,2307350,6058422,2307350+6058422=,8,0,"8,363,772",50,5,1883859+3177908=5061767,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
1,1,False,False,7778640,14016227,7778640+14016227=,8,0,"21,691,867",50,5,6157348+19398045=25555393,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
2,2,False,False,9482500,964332763,9482500+964332763=,8,0,973815263,50,3,3081494+308527232=311608726,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
3,3,False,False,51629751,1711633,51629751+1711633=,8,0,"53,281,384",50,5,97426154+1969350=99395504,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
4,4,False,False,57713793,81530413,57713793+81530413=,8,0,"139,044,206",50,5,92371500+72839049=165210549,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
5,5,False,False,10841276,608537036,10841276+608537036=,8,0,619378312,50,3,67428907+164641795=232070702,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
6,6,False,False,201260781,7489051,201260781+7489051=,8,0,"208,750,832",50,5,170208648+1856445=172065093,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
7,7,False,False,580528087,15255626,580528087+15255626=,8,0,595783713,50,3,412503372+78551156=491054528,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
8,8,False,False,391577960,272373856,391577960+272373856=,8,0,663951816,52,3,329309516+949576714=1278886230,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
9,9,False,False,5807401,2374360,5807401+2374360=,8,0,8181761,50,3,3459116+9779543=13238659,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
10,10,False,False,3735601,78222315,3735601+78222315=,8,0,"81,057,916",50,5,8625231+47615144=56240375,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
11,11,False,False,6612747,566641845,6612747+566641845=,8,0,"573,254,592",50,5,6355373+715618011=721973384,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
12,12,False,False,42267863,8567869,42267863+8567869=,8,0,"50,757,732",50,5,81825437+2779456=84604893,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
