,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,repeat_style,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
0,0,False,False,2307350,6058422,2.307.350+6.058.422=,12,0,8.365.772,58,5,1883859+3177908=5061767,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
1,1,False,False,7778640,14016227,7.778.640+14.016.227=,12,0,21.794.867,58,5,6157348+19398045=25555393,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
2,2,False,False,9482500,964332763,9.482.500+964.332.763=,12,0,973.815.263,58,5,3081494+308527232=311608726,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
3,3,False,False,51629751,1711633,51.629.751+1.711.633=,12,0,53.341.384,58,5,97426154+1969350=99395504,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
4,4,False,False,57713793,81530413,57.713.793+81.530.413=,12,0,139.244.206,58,5,92371500+72839049=165210549,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
5,5,False,False,10841276,608537036,10.841.276+608.537.036=,12,0,619.378.312,58,5,67428907+164641795=232070702,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
6,6,False,False,201260781,7489051,201.260.781+7.489.051=,12,0,208.749.832,58,5,170208648+1856445=172065093,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
7,7,False,False,580528087,15255626,580.528.087+15.255.626=,12,0,595.783.713,58,5,412503372+78551156=491054528,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
8,8,False,False,391577960,272373856,391.577.960+272.373.856=,12,0,663.951.816,60,5,329309516+949576714=1278886230,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
9,9,False,False,5807401,2374360,5.807.401+2.374.360=,12,0,8.181.761,58,5,3459116+9779543=13238659,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
10,10,False,False,3735601,78222315,3.735.601+78.222.315=,12,0,81.957.916,58,5,8625231+47615144=56240375,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
11,11,False,False,6612747,566641845,6.612.747+566.641.845=,12,0,573.254.592,58,5,6355373+715618011=721973384,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
12,12,False,False,42267863,8567869,42.267.863+8.567.869=,12,0,50.835.732,58,5,81825437+2779456=84604893,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
13,13,False,False,47695019,29774166,47.695.019+29.774.166=,12,0,77.469.185,58,5,55309205+97600455=152909660,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
14,14,False,False,18614706,518722247,18.614.706+518.722.247=,12,0,537.336.953,58,5,61417760+339607145=401024905,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
15,15,False,False,306492243,5719768,306.492.243+5.719.768=,12,0,312.211.011,58,5,624426857+5126563=629553420,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
16,16,False,False,808630085,27532599,808.630.085+27.532.599=,12,0,836.162.684,58,5,217757908+27742716=245500624,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
17,17,False,False,430298470,694067915,430.298.470+694.067.915=,12,0,1.124.366.385,60,7,504512742+780846284=1285359026,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
18,18,False,False,7169254,6322530,7.169.254+6.322.530=,12,0,13.491.784,58,5,3379874+5752675=9132549,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
19,19,False,False,8572387,76470457,8.572.387+76.470.457=,12,0,85.042.844,58,5,5819391+30296338=36115729,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
20,20,False,False,4304231,377004109,4.304.231+377.004.109=,12,0,381.308.340,58,5,9410680+298513967=307924647,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
21,21,False,False,92387097,3019679,92.387.097+3.019.679=,12,0,95.406.776,58,5,53306770+7984063=61290833,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
22,22,False,False,35295736,81720003,35.295.736+81.720.003=,12,0,117.015.739,58,5,75569500+39787328=115356828,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
23,23,False,False,31569348,923325852,31.569.348+923.325.852=,12,0,954.895.200,58,5,58849299+596122429=654971728,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
24,24,False,False,851153427,4266518,851.153.427+4.266.518=,12,0,855.419.945,58,5,835354186+7165905=842520091,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
25,25,False,False,910436316,79313778,910.436.316+79.313.778=,12,0,989.750.094,60,5,978139144+82311916=1060451060,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
26,26,False,False,439288219,390148286,439.288.219+390.148.286=,12,0,829.436.505,58,5,319644065+185033292=504677357,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
27,27,False,False,7859788,7979386,7.859.788+7.979.386=,12,0,15.839.174,58,5,9269314+6827815=16097129,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
28,28,False,False,5746685,74617405,5.746.685+74.617.405=,12,0,80.364.090,58,5,9501390+25084631=34586021,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
29,29,False,False,1227763,881768096,1.227.763+881.768.096=,12,0,882.995.859,58,5,1581250+123021143=124602393,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
30,30,False,False,28696832,1516385,28.696.832+1.516.385=,12,0,30.213.217,58,5,92534194+1845784=94379978,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
31,31,False,False,86669258,60294542,86.669.258+60.294.542=,12,0,146.963.800,58,5,40040952+42571261=82612213,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
32,32,False,False,26269523,860417848,26.269.523+860.417.848=,12,0,886.687.371,58,5,12074787+883366766=895441553,gpt-3.5-turbo-0301,You are a helpful assistant.,dec_r2l,dec_r2l,,0,0,1,0,1
