,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,logprobs_json,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,repeat_style,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
0,0,True,True,8464327,1470761,8464327+1470761=,8,0,9935088,"[{""token"": ""993"", ""logprob"": -2.577686e-06, ""top_5_logprobs"": [{""token"": ""993"", ""logprob"": -2.577686e-06}, {""token"": ""9"", ""logprob"": -13.254258}, {""token"": ""99"", ""logprob"": -15.044368}, {""token"": "" "", ""logprob"": -15.547418}, {""token"": ""994"", ""logprob"": -17.042128}]}, {""token"": ""508"", ""logprob"": -0.0022686126, ""top_5_logprobs"": [{""token"": ""508"", ""logprob"": -0.0022686126}, {""token"": ""509"", ""logprob"": -6.0901384}, {""token"": ""507"", ""logprob"": -15.453675}, {""token"": ""408"", ""logprob"": -16.097845}, {""token"": ""608"", ""logprob"": -16.099792}]}, {""token"": ""8"", ""logprob"": -3.1281633e-07, ""top_5_logprobs"": [{""token"": ""8"", ""logprob"": -3.1281633e-07}, {""token"": ""9"", ""logprob"": -15.188175}, {""token"": ""7"", ""logprob"": -18.128304}, {""token"": ""<|end|>"", ""logprob"": -18.510689}, {""token"": ""6"", ""logprob"": -18.979403}]}]",195,3,"1130699+8505499=9636198,1277292+2082059=3359351,1877084+3291973=5169057,2196961+7242090=9439051,1736262+6916087=8652349,3479116+6424720=9903836,2847032+6023948=8870980,2534696+4944992=7479688",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
1,1,True,True,3529456,8302080,3529456+8302080=,8,0,11801536,"[{""token"": ""118"", ""logprob"": -3.8338785e-05, ""top_5_logprobs"": [{""token"": ""118"", ""logprob"": -3.8338785e-05}, {""token"": ""11"", ""logprob"": -10.547125}, {""token"": ""1"", ""logprob"": -11.975241}, {""token"": "" "", ""logprob"": -12.734274}, {""token"": ""+"", ""logprob"": -14.431774}]}, {""token"": ""015"", ""logprob"": -1.5251983, ""top_5_logprobs"": [{""token"": ""015"", ""logprob"": -1.5251983}, {""token"": ""615"", ""logprob"": -1.9171013}, {""token"": ""215"", ""logprob"": -2.0811524}, {""token"": ""315"", ""logprob"": -2.2280812}, {""token"": ""715"", ""logprob"": -2.2868905}]}, {""token"": ""36"", ""logprob"": -1.342522e-05, ""top_5_logprobs"": [{""token"": ""36"", ""logprob"": -1.342522e-05}, {""token"": ""37"", ""logprob"": -12.337048}, {""token"": ""35"", ""logprob"": -12.570982}, {""token"": ""38"", ""logprob"": -13.391268}, {""token"": ""34"", ""logprob"": -14.00634}]}]",195,3,"5195127+7429149=12624276,3554652+8587733=12142385,3752685+8460350=12213035,9089670+1650044=10739714,9805166+1036779=10841945,3712778+6531205=10243983,8292915+4550579=12843494,8906107+4150142=13056249",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
2,2,True,True,7718526,31386286,7718526+31386286=,8,0,39004812,"[{""token"": ""390"", ""logprob"": -0.15004525, ""top_5_logprobs"": [{""token"": ""390"", ""logprob"": -0.15004525}, {""token"": ""391"", ""logprob"": -1.9709548}, {""token"": "" "", ""logprob"": -12.35071}, {""token"": ""39"", ""logprob"": -13.051046}, {""token"": ""3"", ""logprob"": -14.785405}]}, {""token"": ""048"", ""logprob"": -0.00011939728, ""top_5_logprobs"": [{""token"": ""048"", ""logprob"": -0.00011939728}, {""token"": ""047"", ""logprob"": -9.076621}, {""token"": ""648"", ""logprob"": -13.760133}, {""token"": ""028"", ""logprob"": -13.929959}, {""token"": ""248"", ""logprob"": -14.161284}]}, {""token"": ""12"", ""logprob"": -4.3202e-07, ""top_5_logprobs"": [{""token"": ""12"", ""logprob"": -4.3202e-07}, {""token"": ""10"", ""logprob"": -15.840292}, {""token"": ""1"", ""logprob"": -16.740255}, {""token"": ""11"", ""logprob"": -16.757486}, {""token"": ""13"", ""logprob"": -17.086851}]}]",195,3,"33496267+9700308=43196575,68373173+8361009=76734182,87876231+6971567=94847798,84279233+5119939=89399172,49889396+7973293=57862689,27051224+6449278=33500502,29464300+7526917=36991217,37610844+4315452=41926296",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
3,3,True,True,76110181,5842298,76110181+5842298=,8,0,81952479,"[{""token"": ""819"", ""logprob"": -2.1769476e-05, ""top_5_logprobs"": [{""token"": ""819"", ""logprob"": -2.1769476e-05}, {""token"": ""81"", ""logprob"": -10.912889}, {""token"": ""8"", ""logprob"": -12.847611}, {""token"": "" "", ""logprob"": -14.699845}, {""token"": ""82"", ""logprob"": -16.57339}]}, {""token"": ""524"", ""logprob"": -3.4121115e-06, ""top_5_logprobs"": [{""token"": ""524"", ""logprob"": -3.4121115e-06}, {""token"": ""523"", ""logprob"": -13.13492}, {""token"": ""525"", ""logprob"": -14.5226}, {""token"": ""52"", ""logprob"": -15.606447}, {""token"": ""324"", ""logprob"": -15.950365}]}, {""token"": ""79"", ""logprob"": -6.704273e-07, ""top_5_logprobs"": [{""token"": ""79"", ""logprob"": -6.704273e-07}, {""token"": ""78"", ""logprob"": -15.342168}, {""token"": ""80"", ""logprob"": -16.515953}, {""token"": ""77"", ""logprob"": -16.667253}, {""token"": ""89"", ""logprob"": -16.722391}]}]",195,3,"1240500+69258927=70499427,3178716+38512157=41690873,8188094+75990247=84178341,9996846+17113057=27109903,5027291+87391270=92418561,1143726+60448448=61592174,7229830+32280590=39510420,6759467+19413764=26173231",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
4,4,True,True,6813376,99705409,6813376+99705409=,8,0,106118785,"[{""token"": ""106"", ""logprob"": -2.577686e-06, ""top_5_logprobs"": [{""token"": ""106"", ""logprob"": -2.577686e-06}, {""token"": ""$"", ""logprob"": -13.916114}, {""token"": ""+"", ""logprob"": -14.933003}, {""token"": ""10"", ""logprob"": -15.716355}, {""token"": ""1"", ""logprob"": -16.121357}]}, {""token"": ""118"", ""logprob"": -1.5071261, ""top_5_logprobs"": [{""token"": ""118"", ""logprob"": -1.5071261}, {""token"": ""718"", ""logprob"": -1.894211}, {""token"": ""018"", ""logprob"": -1.9221137}, {""token"": ""618"", ""logprob"": -2.0237486}, {""token"": ""318"", ""logprob"": -2.5631468}]}, {""token"": ""785"", ""logprob"": -3.8577193e-05, ""top_5_logprobs"": [{""token"": ""785"", ""logprob"": -3.8577193e-05}, {""token"": ""385"", ""logprob"": -11.093977}, {""token"": ""185"", ""logprob"": -11.823389}, {""token"": ""585"", ""logprob"": -11.885496}, {""token"": ""985"", ""logprob"": -12.605398}]}]",195,3,"98508459+1955851=100464310,98806648+4892120=103698768,98333646+4047531=102381177,99917642+1652199=101569841,98748355+2428312=101176667,99250250+1227285=100477535,90568081+9729859=100297940,98978583+2176327=101154910",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
5,5,True,True,92890802,7798383,92890802+7798383=,8,0,100089185,"[{""token"": ""100"", ""logprob"": -0.0003066222, ""top_5_logprobs"": [{""token"": ""100"", ""logprob"": -0.0003066222}, {""token"": ""1"", ""logprob"": -8.2205925}, {""token"": ""10"", ""logprob"": -10.979578}, {""token"": ""101"", ""logprob"": -11.653082}, {""token"": ""$"", ""logprob"": -12.599472}]}, {""token"": ""089"", ""logprob"": -1.6634451, ""top_5_logprobs"": [{""token"": ""089"", ""logprob"": -1.6634451}, {""token"": ""189"", ""logprob"": -1.7769495}, {""token"": ""289"", ""logprob"": -2.1083798}, {""token"": ""489"", ""logprob"": -2.3034596}, {""token"": ""389"", ""logprob"": -2.4485784}]}, {""token"": ""185"", ""logprob"": -1.569009e-05, ""top_5_logprobs"": [{""token"": ""185"", ""logprob"": -1.569009e-05}, {""token"": ""186"", ""logprob"": -13.092133}, {""token"": ""184"", ""logprob"": -13.185162}, {""token"": ""785"", ""logprob"": -13.199072}, {""token"": ""985"", ""logprob"": -13.675816}]}]",195,3,"6059364+99160591=105219955,9844117+90399649=100243766,8499307+94195178=102694485,5455894+97835937=103291831,3739211+99370334=103109545,6211040+99057506=105268546,3638385+99123068=102761453,3947547+99058085=103005632",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
6,6,True,True,47515218,49749951,47515218+49749951=,8,0,97265169,"[{""token"": ""972"", ""logprob"": -4.00813e-06, ""top_5_logprobs"": [{""token"": ""972"", ""logprob"": -4.00813e-06}, {""token"": ""97"", ""logprob"": -12.978603}, {""token"": ""9"", ""logprob"": -13.697466}, {""token"": ""$"", ""logprob"": -15.844635}, {""token"": "" "", ""logprob"": -16.640808}]}, {""token"": ""651"", ""logprob"": -7.89631e-07, ""top_5_logprobs"": [{""token"": ""651"", ""logprob"": -7.89631e-07}, {""token"": ""652"", ""logprob"": -15.473689}, {""token"": ""65"", ""logprob"": -15.621236}, {""token"": ""6"", ""logprob"": -15.8947935}, {""token"": "" "", ""logprob"": -16.853476}]}, {""token"": ""69"", ""logprob"": -4.723352e-06, ""top_5_logprobs"": [{""token"": ""69"", ""logprob"": -4.723352e-06}, {""token"": ""68"", ""logprob"": -12.924521}, {""token"": ""79"", ""logprob"": -14.828866}, {""token"": ""67"", ""logprob"": -14.8767}, {""token"": ""19"", ""logprob"": -14.940999}]}]",195,3,"41367391+36375640=77743031,22299454+75933267=98232721,29165475+67691647=96857122,11678615+82009007=93687622,27464437+59865324=87329761,11112090+45958940=57071030,22059069+68437450=90496519,19113695+66551034=85664729",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
7,7,True,True,91770186,40528087,91770186+40528087=,8,0,132898273,"[{""token"": ""132"", ""logprob"": -1.0683535e-05, ""top_5_logprobs"": [{""token"": ""132"", ""logprob"": -1.0683535e-05}, {""token"": ""13"", ""logprob"": -11.809728}, {""token"": ""133"", ""logprob"": -13.142926}, {""token"": ""1"", ""logprob"": -13.934045}, {""token"": "" "", ""logprob"": -15.697988}]}, {""token"": ""898"", ""logprob"": -1.5793607, ""top_5_logprobs"": [{""token"": ""898"", ""logprob"": -1.5793607}, {""token"": ""398"", ""logprob"": -1.8438947}, {""token"": ""298"", ""logprob"": -1.9978826}, {""token"": ""698"", ""logprob"": -2.2172792}, {""token"": ""498"", ""logprob"": -2.4078119}]}, {""token"": ""273"", ""logprob"": -1.147242e-06, ""top_5_logprobs"": [{""token"": ""273"", ""logprob"": -1.147242e-06}, {""token"": ""272"", ""logprob"": -15.280646}, {""token"": ""274"", ""logprob"": -15.86991}, {""token"": ""271"", ""logprob"": -16.01421}, {""token"": ""873"", ""logprob"": -16.2863}]}]",195,3,"27382072+85402441=112784513,60698765+42678259=103377024,35412327+87849976=123262303,89907976+58390244=148298220,83156099+17963907=101120006,71067831+33345858=104413689,24235104+85701389=109936493,47094505+85373012=132467517",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
8,8,True,True,9172574,428268256,9172574+428268256=,8,0,437440830,"[{""token"": ""437"", ""logprob"": -1.4974867e-05, ""top_5_logprobs"": [{""token"": ""437"", ""logprob"": -1.4974867e-05}, {""token"": ""+"", ""logprob"": -12.35914}, {""token"": ""$"", ""logprob"": -12.905113}, {""token"": ""{"", ""logprob"": -13.035011}, {""token"": ""\\"", ""logprob"": -13.928869}]}, {""token"": ""440"", ""logprob"": -0.026633035, ""top_5_logprobs"": [{""token"": ""440"", ""logprob"": -0.026633035}, {""token"": ""441"", ""logprob"": -4.1424055}, {""token"": ""450"", ""logprob"": -5.1909285}, {""token"": ""040"", ""logprob"": -5.825139}, {""token"": ""340"", ""logprob"": -7.860566}]}, {""token"": ""830"", ""logprob"": -2.1008714e-06, ""top_5_logprobs"": [{""token"": ""830"", ""logprob"": -2.1008714e-06}, {""token"": ""930"", ""logprob"": -14.834312}, {""token"": ""820"", ""logprob"": -14.868702}, {""token"": ""829"", ""logprob"": -14.998442}, {""token"": ""730"", ""logprob"": -15.412546}]}]",195,3,"157811213+4101114=161912327,750364812+6288707=756653519,599072579+6441920=605514499,272213910+6013632=278227542,641998963+9399291=651398254,924716112+6672521=931388633,270396124+1168498=271564622,810080474+5397163=815477637",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
9,9,True,True,460227618,4420217,460227618+4420217=,8,0,464647835,"[{""token"": ""464"", ""logprob"": -1.504853e-06, ""top_5_logprobs"": [{""token"": ""464"", ""logprob"": -1.504853e-06}, {""token"": ""$"", ""logprob"": -15.024769}, {""token"": ""465"", ""logprob"": -15.07709}, {""token"": ""4"", ""logprob"": -16.031157}, {""token"": ""463"", ""logprob"": -16.232187}]}, {""token"": ""647"", ""logprob"": -0.00084071525, ""top_5_logprobs"": [{""token"": ""647"", ""logprob"": -0.00084071525}, {""token"": ""648"", ""logprob"": -7.0997386}, {""token"": ""646"", ""logprob"": -12.519821}, {""token"": ""627"", ""logprob"": -12.74354}, {""token"": ""637"", ""logprob"": -13.169842}]}, {""token"": ""835"", ""logprob"": -1.147242e-06, ""top_5_logprobs"": [{""token"": ""835"", ""logprob"": -1.147242e-06}, {""token"": ""836"", ""logprob"": -15.321637}, {""token"": ""834"", ""logprob"": -15.5322695}, {""token"": ""935"", ""logprob"": -15.6530485}, {""token"": ""435"", ""logprob"": -16.110752}]}]",195,3,"1627464+229154096=230781560,2530249+270993029=273523278,9024978+898543265=907568243,9696722+579717806=589414528,9602250+655945970=665548220,7078559+517253469=524332028,2381002+684177955=686558957,3121331+971425717=974547048",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
