,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,repeat_problem_number_format,answer_number_format,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
0,0,False,False,2307350,6058422,2307350+6058422=,8,0,"2,307,350 + 6,058,422 = 8,365,772",60,19,1883859+3177908=5061767,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
1,1,False,False,7778640,14016227,7778640+14016227=,8,0,"7,778,640 + 14,016,227 = 21,794,867",60,19,6157348+19398045=25555393,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
2,2,False,False,9482500,964332763,9482500+964332763=,8,0,"9,482,500 + 964,332,763 = 973,815,263",60,19,3081494+308527232=311608726,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
3,3,False,False,51629751,1711633,51629751+1711633=,8,0,"51,629,751+1,711,633=53,341,384",60,17,97426154+1969350=99395504,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
4,4,False,False,57713793,81530413,57713793+81530413=,8,0,"57,713,793+81,530,413=139,244,206",60,17,92371500+72839049=165210549,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
5,5,False,False,10841276,608537036,10841276+608537036=,8,0,10841276+608537036=619378312,60,11,67428907+164641795=232070702,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
6,6,False,False,201260781,7489051,201260781+7489051=,8,0,201260781+7489051=208750832,60,11,170208648+1856445=172065093,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
7,7,False,False,580528087,15255626,580528087+15255626=,8,0,"580,528,087+15,255,626=595,783,713",60,17,412503372+78551156=491054528,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
8,8,False,False,391577960,272373856,391577960+272373856=,8,0,"391,577,960+272,373,856=663,951,816",61,17,329309516+949576714=1278886230,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
9,9,False,False,5807401,2374360,5807401+2374360=,8,0,"5,807,401 + 2,374,360 = 8,182,761",60,19,3459116+9779543=13238659,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
